debianutils,5.23.2
default-jre,2:1.21-76
default-jre-headless,2:1.21-76
desktop-file-utils,0.28-1
dhcpcd-base,1:10.2.4-4
dialog,1.3-20250116-1
dictionaries-common,1.30.10
diffstat,1.68-0ubuntu1
diffutils,1:3.10-4
dirmngr,2.4.8-2ubuntu2.1
distro-info,1.14
distro-info-data,0.66ubuntu0.1
dkms,3.2.0-1ubuntu1
dmeventd,2:1.02.205-2ubuntu2
dmidecode,3.6-2
dmsetup,2:1.02.205-2ubuntu2
dmz-cursor-theme,0.4.5.3
dns-root-data,2025080400
dnsmasq-base,2.91-1build1
docbook-xml,4.5-13
docbook-xsl,1.79.2+dfsg-7
docker-buildx-plugin,0.33.0-1~ubuntu.25.10~questing
docker-ce,5:29.3.1-1~ubuntu.25.10~questing
docker-ce-cli,5:29.3.1-1~ubuntu.25.10~questing
docker-ce-rootless-extras,5:29.3.1-1~ubuntu.25.10~questing
docker-compose-plugin,5.1.1-1~ubuntu.25.10~questing
dolphin,4:25.08.1-0ubuntu2
dolphin-data,4:25.08.1-0ubuntu2
dolphin-doc,4:25.08.1-0ubuntu2
dolphin-plugins,4:25.08.1-0ubuntu1
dosfstools,4.2-1.2
dpkg,1.22.21ubuntu3.1
dpkg-dev,1.22.21ubuntu3.1
dracut,108-3ubuntu3
dracut-core,108-3ubuntu3
dracut-install,108-3ubuntu3
dragonplayer,4:25.08.1-0ubuntu1
drkonqi,6.4.5-0ubuntu1
dvisvgm,3.5+ds-1
e2fsprogs,1.47.2-3ubuntu2
eatmydata,131-2
ed,1.22.2-1
edict,2024.08.08-1
edid-decode,0.1~git20220315.cb74358c2896-1.1
efibootmgr,18-2
eject,2.41-4ubuntu4.2
elfutils,0.193-1
elisa,25.08.1-0ubuntu2
emacsen-common,3.0.8
enchant-2,2.8.2+dfsg1-3
espeak-ng-data:amd64,1.52.0+dfsg-5
ethtool,1:6.15-3
evdi-dkms,1.14.10+dfsg-0ubuntu2
evince,48.1-3ubuntu2
evince-common,48.1-3ubuntu2
evolution,3.56.2-4
evolution-common,3.56.2-4
evolution-data-server,3.56.2-3ubuntu0.1
evolution-data-server-common,3.56.2-3ubuntu0.1
evolution-ews,3.56.2-1
evolution-ews-core,3.56.2-1
evolution-plugin-bogofilter,3.56.2-4
evolution-plugin-pstimport,3.56.2-4
evolution-plugins,3.56.2-4
exfatprogs,1.2.9-1
extlinux,3:6.04~git20190206.bf6db5b4+dfsg1-3.1ubuntu1
f2fs-tools,1.16.0-2
fakeroot,1.37.1.2-1
fcitx5,5.1.14-1
fcitx5-chinese-addons,5.1.9-1
fcitx5-chinese-addons-bin,5.1.9-1
fcitx5-chinese-addons-data,5.1.9-1
fcitx5-config-qt,5.1.10-2
fcitx5-data,5.1.14-1
fcitx5-frontend-all,5.1.14-1
fcitx5-frontend-gtk3,5.1.4-2
fcitx5-frontend-gtk4,5.1.4-2
fcitx5-frontend-qt5,5.1.10-1build1
fcitx5-frontend-qt6,5.1.10-1build1
fcitx5-module-chttrans:amd64,5.1.9-1
fcitx5-module-cloudpinyin:amd64,5.1.9-1
fcitx5-module-fullwidth:amd64,5.1.9-1
fcitx5-module-lua:amd64,5.0.15-1
fcitx5-module-lua-common,5.0.15-1
fcitx5-module-pinyinhelper:amd64,5.1.9-1
fcitx5-module-punctuation:amd64,5.1.9-1
fcitx5-modules:amd64,5.1.14-1
fcitx5-pinyin:amd64,5.1.9-1
fcitx5-pinyin-gui:amd64,5.1.9-1
fcitx5-rime:amd64,5.1.11-1
fcitx5-table:amd64,5.1.9-1
fdisk,2.41-4ubuntu4.2
ffmpeg,7:7.1.1-1ubuntu4.2
ffmpegthumbs,4:25.08.1-0ubuntu1
file,1:5.46-5build1
filelight,4:25.08.1-0ubuntu1
finalrd,9build1
findutils,4.10.0-3build1
firebird-utils,4.0.6.3221.ds6-2
firebird4.0-common,4.0.6.3221.ds6-2
firebird4.0-common-doc,4.0.6.3221.ds6-2
firebird4.0-server-core:amd64,4.0.6.3221.ds6-2
firebird4.0-utils,4.0.6.3221.ds6-2
firefox,1:1snap1-0ubuntu7
firmware-sof-signed,2025.05.1-1
flatpak,1.16.1-2ubuntu1
flex,2.6.4-8.2build1
fluid-soundfont-gm,3.1-5.3
fontconfig,2.15.0-2.3ubuntu1
fontconfig-config,2.15.0-2.3ubuntu1
fonts-crosextra-caladea,20200211-2
fonts-crosextra-carlito,20230309-2
fonts-dejavu,2.37-8
fonts-dejavu-core,2.37-8
fonts-dejavu-extra,2.37-8
fonts-dejavu-mono,2.37-8
fonts-droid-fallback,1:8.1.0r7-1~1.gbp36536b
fonts-dustin,20030517-14
fonts-freefont-ttf,20211204+svn4273-2
fonts-hack,3.003-3
fonts-kanjistrokeorders,4.003~dfsg-1
fonts-liberation,1:2.1.5-3
fonts-liberation-sans-narrow,1:1.07.6-4
fonts-linuxlibertine,5.3.0-6
fonts-lmodern,2.005-1
fonts-noto-cjk,1:20240730+repack1-1
fonts-noto-color-emoji,2.048-1
fonts-noto-core,20201225-2
fonts-noto-extra,20201225-2
fonts-noto-hinted,20201225-2
fonts-noto-mono,20201225-2
fonts-noto-ui-core,20201225-2
fonts-noto-unhinted,20201225-2
fonts-opensymbol,4:102.12+LibO25.8.5-0ubuntu0.25.10.1
fonts-sil-gentium,20081126:1.03-4
fonts-sil-gentium-basic,1.102-1.1
fonts-sjfonts,2.1-2
fonts-ubuntu,0.869+git20240321-0ubuntu1
fonts-urw-base35,20200910-8
fonts-vlgothic,20220612-1ubuntu1
fonts-wine,10.0~repack-6ubuntu1
foomatic-db-compressed-ppds,20250819-1
fprintd,1.94.5-2
frameworkintegration6,6.17.0-0ubuntu1
freepats,20060219-4
freerdp3-wayland,3.16.0+dfsg-2ubuntu0.4
freerdp3-x11,3.16.0+dfsg-2ubuntu0.4
friendly-recovery,0.2.42
ftp,20230507-2build3
fuse3,3.17.4-1
fuseiso,20070708-8
fwupd,2.0.20-1ubuntu2~25.10.1
fwupd-signed,1.55+1.7-1
g++,4:15.2.0-4ubuntu1
g++-15,15.2.0-4ubuntu4
g++-15-x86-64-linux-gnu,15.2.0-4ubuntu4
g++-x86-64-linux-gnu,4:15.2.0-4ubuntu1
gamemode,1.8.2-2
gamemode-daemon,1.8.2-2
gawk,1:5.3.2-1build1
gcc,4:15.2.0-4ubuntu1
gcc-15,15.2.0-4ubuntu4
gcc-15-base:amd64,15.2.0-4ubuntu4
gcc-15-base:i386,15.2.0-4ubuntu4
gcc-15-x86-64-linux-gnu,15.2.0-4ubuntu4
gcc-x86-64-linux-gnu,4:15.2.0-4ubuntu1
